team1,team2,team1_score,team2_score,result_numeric,team1_rank,team2_rank,rank_diff,team1_elo,team2_elo,elo_diff
France,Croatia,4,2,1,2,13,-11,1859.78,1691.59,168.19000000000003
Belgium,England,2,0,1,8,4,4,1740.62,1813.81,-73.19000000000005
Croatia,England,2,1,1,13,4,9,1691.59,1813.81,-122.22000000000004
France,Belgium,1,0,1,2,8,-6,1859.78,1740.62,119.16000000000008
Sweden,England,0,2,-1,27,4,23,1540.2,1813.81,-273.6099999999999
Russia,Croatia,2,2,0,34,13,21,1512.32,1691.59,-179.26999999999998
Uruguay,France,0,2,-1,11,2,9,1695.91,1859.78,-163.8699999999999
Brazil,Belgium,1,2,-1,5,8,-3,1775.85,1740.62,35.23000000000002
Sweden,Switzerland,1,0,1,27,20,7,1540.2,1625.16,-84.96000000000004
Colombia,England,1,1,0,12,4,8,1694.44,1813.81,-119.36999999999988
Brazil,Mexico,2,0,1,5,19,-14,1775.85,1627.4,148.44999999999982
Belgium,Japan,3,2,1,8,15,-7,1740.62,1652.79,87.82999999999993
Spain,Russia,1,1,0,3,34,-31,1853.27,1512.32,340.95000000000005
Croatia,Denmark,1,1,0,13,21,-8,1691.59,1611.49,80.09999999999991
France,Argentina,4,3,1,2,1,1,1859.78,1867.25,-7.470000000000027
Uruguay,Portugal,2,1,1,11,6,5,1695.91,1756.12,-60.20999999999981
Japan,Poland,0,1,-1,15,35,-20,1652.79,1510.62,142.17000000000007
Senegal,Colombia,0,1,-1,17,12,5,1637.25,1694.44,-57.190000000000055
England,Belgium,0,1,-1,4,8,-4,1813.81,1740.62,73.19000000000005
Korea Republic,Germany,2,0,1,23,10,13,1585.45,1703.79,-118.33999999999992
Mexico,Sweden,0,3,-1,19,27,-8,1627.4,1540.2,87.20000000000005
Serbia,Brazil,0,2,-1,32,5,27,1514.28,1775.85,-261.56999999999994
Australia,Peru,0,2,-1,26,40,-14,1544.15,1488.42,55.73000000000002
Denmark,France,0,0,0,21,2,19,1611.49,1859.78,-248.29
Nigeria,Argentina,1,2,-1,44,1,43,1482.23,1867.25,-385.02
Uruguay,Russia,3,0,1,11,34,-23,1695.91,1512.32,183.59000000000012
Spain,Morocco,2,2,0,3,14,-11,1853.27,1688.18,165.08999999999992
IR Iran,Portugal,1,1,0,18,6,12,1635.31,1756.12,-120.80999999999996
England,Panama,6,1,1,4,36,-32,1813.81,1504.39,309.41999999999985
Japan,Senegal,2,2,0,15,17,-2,1652.79,1637.25,15.539999999999964
Poland,Colombia,0,3,-1,35,12,23,1510.62,1694.44,-183.82000000000016
Korea Republic,Mexico,1,2,-1,23,19,4,1585.45,1627.4,-41.950000000000045
Germany,Sweden,2,1,1,10,27,-17,1703.79,1540.2,163.58999999999992
Serbia,Switzerland,1,2,-1,32,20,12,1514.28,1625.16,-110.88000000000012
Denmark,Australia,1,1,0,21,26,-5,1611.49,1544.15,67.33999999999992
France,Peru,1,0,1,2,40,-38,1859.78,1488.42,371.3599999999999
Argentina,Croatia,0,3,-1,1,13,-12,1867.25,1691.59,175.66000000000008
Portugal,Morocco,1,0,1,6,14,-8,1756.12,1688.18,67.93999999999983
IR Iran,Spain,0,1,-1,18,3,15,1635.31,1853.27,-217.96000000000004
Colombia,Japan,1,2,-1,12,15,-3,1694.44,1652.79,41.65000000000009
Poland,Senegal,1,2,-1,35,17,18,1510.62,1637.25,-126.63000000000012
Russia,Egypt,3,1,1,34,33,1,1512.32,1513.48,-1.160000000000082
Sweden,Korea Republic,1,0,1,27,23,4,1540.2,1585.45,-45.25
Belgium,Panama,3,0,1,8,36,-28,1740.62,1504.39,236.2299999999998
Germany,Mexico,0,1,-1,10,19,-9,1703.79,1627.4,76.38999999999987
Brazil,Switzerland,1,1,0,5,20,-15,1775.85,1625.16,150.68999999999983
France,Australia,2,1,1,2,26,-24,1859.78,1544.15,315.6299999999999
Peru,Denmark,0,1,-1,40,21,19,1488.42,1611.49,-123.06999999999994
Croatia,Nigeria,2,0,1,13,44,-31,1691.59,1482.23,209.3599999999999
Egypt,Uruguay,0,1,-1,33,11,22,1513.48,1695.91,-182.4300000000001
Morocco,IR Iran,0,1,-1,14,18,-4,1688.18,1635.31,52.87000000000012
Portugal,Spain,3,3,0,6,3,3,1756.12,1853.27,-97.15000000000008
Germany,Argentina,1,0,1,10,1,9,1703.79,1867.25,-163.46000000000004
Brazil,Netherlands,0,3,-1,5,7,-2,1775.85,1747.55,28.299999999999955
Netherlands,Argentina,0,0,0,7,1,6,1747.55,1867.25,-119.70000000000005
Brazil,Germany,1,7,-1,5,10,-5,1775.85,1703.79,72.05999999999995
Argentina,Belgium,1,0,1,1,8,-7,1867.25,1740.62,126.63000000000012
France,Germany,0,1,-1,2,10,-8,1859.78,1703.79,155.99
Brazil,Colombia,2,1,1,5,12,-7,1775.85,1694.44,81.40999999999985
Argentina,Switzerland,1,0,1,1,20,-19,1867.25,1625.16,242.08999999999992
France,Nigeria,2,0,1,2,44,-42,1859.78,1482.23,377.55
Germany,Algeria,2,1,1,10,37,-27,1703.79,1495.85,207.94000000000003
Netherlands,Mexico,2,1,1,7,19,-12,1747.55,1627.4,120.14999999999986
Colombia,Uruguay,2,0,1,12,11,1,1694.44,1695.91,-1.4700000000000273
Korea Republic,Belgium,0,1,-1,23,8,15,1585.45,1740.62,-155.16999999999985
Algeria,Russia,1,1,0,37,34,3,1495.85,1512.32,-16.470000000000027
Nigeria,Argentina,2,3,-1,44,1,43,1482.23,1867.25,-385.02
Ecuador,France,0,0,0,24,2,22,1560.13,1859.78,-299.64999999999986
Italy,Uruguay,0,1,-1,9,11,-2,1731.51,1695.91,35.59999999999991
Japan,Colombia,1,4,-1,15,12,3,1652.79,1694.44,-41.65000000000009
Greece,Côte d'Ivoire,2,1,1,39,46,-7,1489.88,1478.47,11.410000000000082
Australia,Spain,0,3,-1,26,3,23,1544.15,1853.27,-309.1199999999999
Croatia,Mexico,1,3,-1,13,19,-6,1691.59,1627.4,64.18999999999983
Belgium,Russia,1,0,1,8,34,-26,1740.62,1512.32,228.29999999999995
Korea Republic,Algeria,2,4,-1,23,37,-14,1585.45,1495.85,89.60000000000014
Argentina,IR Iran,1,0,1,1,18,-17,1867.25,1635.31,231.94000000000003
Switzerland,France,2,5,-1,20,2,18,1625.16,1859.78,-234.6199999999999
Colombia,Côte d'Ivoire,2,1,1,12,46,-34,1694.44,1478.47,215.97000000000003
Uruguay,England,2,1,1,11,4,7,1695.91,1813.81,-117.89999999999986
Japan,Greece,0,0,0,15,39,-24,1652.79,1489.88,162.90999999999983
Australia,Netherlands,2,3,-1,26,7,19,1544.15,1747.55,-203.39999999999984
Belgium,Algeria,2,1,1,8,37,-29,1740.62,1495.85,244.77
Brazil,Mexico,0,0,0,5,19,-14,1775.85,1627.4,148.44999999999982
Russia,Korea Republic,1,1,0,34,23,11,1512.32,1585.45,-73.13000000000011
Germany,Portugal,4,0,1,10,6,4,1703.79,1756.12,-52.32999999999993
IR Iran,Nigeria,0,0,0,18,44,-26,1635.31,1482.23,153.07999999999993
Switzerland,Ecuador,2,1,1,20,24,-4,1625.16,1560.13,65.02999999999997
Colombia,Greece,3,0,1,12,39,-27,1694.44,1489.88,204.55999999999997
England,Italy,1,2,-1,4,9,-5,1813.81,1731.51,82.29999999999995
Côte d'Ivoire,Japan,2,1,1,46,15,31,1478.47,1652.79,-174.31999999999994
Spain,Netherlands,1,5,-1,3,7,-4,1853.27,1747.55,105.72000000000004
Brazil,Croatia,3,1,1,5,13,-8,1775.85,1691.59,84.25999999999999
Netherlands,Spain,0,1,-1,7,3,4,1747.55,1853.27,-105.72000000000004
Uruguay,Germany,2,3,-1,11,10,1,1695.91,1703.79,-7.879999999999882
Germany,Spain,0,1,-1,10,3,7,1703.79,1853.27,-149.48000000000002
Uruguay,Netherlands,2,3,-1,11,7,4,1695.91,1747.55,-51.63999999999987
Argentina,Germany,0,4,-1,1,10,-9,1867.25,1703.79,163.46000000000004
Netherlands,Brazil,2,1,1,7,5,2,1747.55,1775.85,-28.299999999999955
Spain,Portugal,1,0,1,3,6,-3,1853.27,1756.12,97.15000000000008
Netherlands,Slovakia,2,1,1,7,41,-34,1747.55,1486.19,261.3599999999999
Germany,England,4,1,1,10,4,6,1703.79,1813.81,-110.01999999999998
Argentina,Mexico,3,1,1,1,19,-18,1867.25,1627.4,239.8499999999999
Uruguay,Korea Republic,2,1,1,11,23,-12,1695.91,1585.45,110.46000000000004
Portugal,Brazil,0,0,0,6,5,1,1756.12,1775.85,-19.730000000000015
Slovakia,Italy,3,2,1,41,9,32,1486.19,1731.51,-245.31999999999996
Denmark,Japan,1,3,-1,21,15,6,1611.49,1652.79,-41.29999999999996
Australia,Serbia,2,1,1,26,32,-6,1544.15,1514.28,29.87000000000012
Mexico,Uruguay,0,1,-1,19,11,8,1627.4,1695.91,-68.50999999999999
Nigeria,Korea Republic,2,2,0,44,23,21,1482.23,1585.45,-103.22000000000004
Greece,Argentina,0,2,-1,39,1,38,1489.88,1867.25,-377.3699999999999
Brazil,Côte d'Ivoire,3,1,1,5,46,-41,1775.85,1478.47,297.3799999999999
Netherlands,Japan,1,0,1,7,15,-8,1747.55,1652.79,94.76
Germany,Serbia,0,1,-1,10,32,-22,1703.79,1514.28,189.51
England,Algeria,0,0,0,4,37,-33,1813.81,1495.85,317.96000000000004
Argentina,Korea Republic,4,1,1,1,23,-22,1867.25,1585.45,281.79999999999995
Greece,Nigeria,2,1,1,39,44,-5,1489.88,1482.23,7.650000000000091
France,Mexico,0,2,-1,2,19,-17,1859.78,1627.4,232.37999999999988
Spain,Switzerland,0,1,-1,3,20,-17,1853.27,1625.16,228.1099999999999
Côte d'Ivoire,Portugal,0,0,0,46,6,40,1478.47,1756.12,-277.64999999999986
Netherlands,Denmark,2,0,1,7,21,-14,1747.55,1611.49,136.05999999999997
Germany,Australia,4,0,1,10,26,-16,1703.79,1544.15,159.63999999999987
Korea Republic,Greece,2,0,1,23,39,-16,1585.45,1489.88,95.56999999999994
Argentina,Nigeria,1,0,1,1,44,-43,1867.25,1482.23,385.02
Uruguay,France,0,0,0,11,2,9,1695.91,1859.78,-163.8699999999999
Italy,France,1,1,0,9,2,7,1731.51,1859.78,-128.26999999999998
Germany,Portugal,3,1,1,10,6,4,1703.79,1756.12,-52.32999999999993
Portugal,France,0,1,-1,6,2,4,1756.12,1859.78,-103.66000000000008
Germany,Italy,0,2,-1,10,9,1,1703.79,1731.51,-27.720000000000027
England,Portugal,0,0,0,4,6,-2,1813.81,1756.12,57.690000000000055
Brazil,France,0,1,-1,5,2,3,1775.85,1859.78,-83.93000000000006
Germany,Argentina,1,1,0,10,1,9,1703.79,1867.25,-163.46000000000004
Italy,Ukraine,3,0,1,9,25,-16,1731.51,1554.94,176.56999999999994
Spain,France,1,3,-1,3,2,1,1853.27,1859.78,-6.509999999999991
Italy,Australia,1,0,1,9,26,-17,1731.51,1544.15,187.3599999999999
Switzerland,Ukraine,0,0,0,20,25,-5,1625.16,1554.94,70.22000000000003
England,Ecuador,1,0,1,4,24,-20,1813.81,1560.13,253.67999999999984
Portugal,Netherlands,1,0,1,6,7,-1,1756.12,1747.55,8.569999999999936
Germany,Sweden,2,0,1,10,27,-17,1703.79,1540.2,163.58999999999992
Argentina,Mexico,2,1,1,1,19,-18,1867.25,1627.4,239.8499999999999
Switzerland,Korea Republic,2,0,1,20,23,-3,1625.16,1585.45,39.71000000000004
Japan,Brazil,1,4,-1,15,5,10,1652.79,1775.85,-123.05999999999996
Croatia,Australia,2,2,0,13,26,-13,1691.59,1544.15,147.43999999999983
Portugal,Mexico,2,1,1,6,19,-13,1756.12,1627.4,128.7199999999998
Netherlands,Argentina,0,0,0,7,1,6,1747.55,1867.25,-119.70000000000005
Ecuador,Germany,0,3,-1,24,10,14,1560.13,1703.79,-143.65999999999983
Sweden,England,2,2,0,27,4,23,1540.2,1813.81,-273.6099999999999
Japan,Croatia,0,0,0,15,13,2,1652.79,1691.59,-38.79999999999996
Brazil,Australia,2,0,1,5,26,-21,1775.85,1544.15,231.69999999999985
France,Korea Republic,1,1,0,2,23,-21,1859.78,1585.45,274.3299999999999
Portugal,IR Iran,2,0,1,6,18,-12,1756.12,1635.31,120.80999999999996
Netherlands,Côte d'Ivoire,2,1,1,7,46,-39,1747.55,1478.47,269.0799999999999
Spain,Ukraine,4,0,1,3,25,-22,1853.27,1554.94,298.3299999999999
Germany,Poland,1,0,1,10,35,-25,1703.79,1510.62,193.17000000000007
France,Switzerland,0,0,0,2,20,-18,1859.78,1625.16,234.6199999999999
Brazil,Croatia,1,0,1,5,13,-8,1775.85,1691.59,84.25999999999999
Australia,Japan,3,1,1,26,15,11,1544.15,1652.79,-108.63999999999989
Mexico,IR Iran,3,1,1,19,18,1,1627.4,1635.31,-7.9099999999998545
Argentina,Côte d'Ivoire,2,1,1,1,46,-45,1867.25,1478.47,388.78
Poland,Ecuador,0,2,-1,35,24,11,1510.62,1560.13,-49.51000000000022
Germany,Brazil,0,2,-1,10,5,5,1703.79,1775.85,-72.05999999999995
Korea Republic,Türkiye,2,3,-1,23,28,-5,1585.45,1537.24,48.21000000000004
Brazil,Türkiye,1,0,1,5,28,-23,1775.85,1537.24,238.6099999999999
Germany,Korea Republic,1,0,1,10,23,-13,1703.79,1585.45,118.33999999999992
Spain,Korea Republic,0,0,0,3,23,-20,1853.27,1585.45,267.81999999999994
Senegal,Türkiye,0,1,-1,17,28,-11,1637.25,1537.24,100.01
England,Brazil,1,2,-1,4,5,-1,1813.81,1775.85,37.96000000000004
Japan,Türkiye,0,1,-1,15,28,-13,1652.79,1537.24,115.54999999999995
Korea Republic,Italy,2,1,1,23,9,14,1585.45,1731.51,-146.05999999999997
Brazil,Belgium,2,0,1,5,8,-3,1775.85,1740.62,35.23000000000002
Sweden,Senegal,1,2,-1,27,17,10,1540.2,1637.25,-97.04999999999995
Denmark,England,0,3,-1,21,4,17,1611.49,1813.81,-202.31999999999996
Belgium,Russia,3,2,1,8,34,-26,1740.62,1512.32,228.29999999999995
Portugal,Korea Republic,0,1,-1,6,23,-17,1756.12,1585.45,170.66999999999985
Mexico,Italy,1,1,0,19,9,10,1627.4,1731.51,-104.1099999999999
Ecuador,Croatia,1,0,1,24,13,11,1560.13,1691.59,-131.4599999999998
Sweden,Argentina,1,1,0,27,1,26,1540.2,1867.25,-327.04999999999995
Nigeria,England,0,0,0,44,4,40,1482.23,1813.81,-331.5799999999999
Denmark,France,2,0,1,21,2,19,1611.49,1859.78,-248.29
Senegal,Uruguay,3,3,0,17,11,6,1637.25,1695.91,-58.66000000000008
Portugal,Poland,4,0,1,6,35,-29,1756.12,1510.62,245.5
Mexico,Ecuador,2,1,1,19,24,-5,1627.4,1560.13,67.26999999999998
Japan,Russia,1,0,1,15,34,-19,1652.79,1512.32,140.47000000000003
Italy,Croatia,1,2,-1,9,13,-4,1731.51,1691.59,39.92000000000007
Sweden,Nigeria,2,1,1,27,44,-17,1540.2,1482.23,57.97000000000003
Argentina,England,0,1,-1,1,4,-3,1867.25,1813.81,53.440000000000055
Denmark,Senegal,1,1,0,21,17,4,1611.49,1637.25,-25.75999999999999
France,Uruguay,0,0,0,2,11,-9,1859.78,1695.91,163.8699999999999
Japan,Belgium,2,2,0,15,8,7,1652.79,1740.62,-87.82999999999993
Korea Republic,Poland,2,0,1,23,35,-12,1585.45,1510.62,74.83000000000015
Croatia,Mexico,0,1,-1,13,19,-6,1691.59,1627.4,64.18999999999983
Brazil,Türkiye,2,1,1,5,28,-23,1775.85,1537.24,238.6099999999999
Italy,Ecuador,2,0,1,9,24,-15,1731.51,1560.13,171.37999999999988
Argentina,Nigeria,1,0,1,1,44,-43,1867.25,1482.23,385.02
England,Sweden,1,1,0,4,27,-23,1813.81,1540.2,273.6099999999999
Uruguay,Denmark,1,2,-1,11,21,-10,1695.91,1611.49,84.42000000000007
France,Senegal,0,1,-1,2,17,-15,1859.78,1637.25,222.53
